Inv. Steve 3435	Gobelet « couvert »	Manufacture royale de porcelaine de Sèvres, vers 1756 ?	Dimensions : haut. : 0,068 m ; diam. : 0,066 m ; long. : 0,088 m. 
Inv. Steve. 4982	Plateau « à tiroir à pieds »	Manufacture royale de porcelaine de Vincennes, vers 1755-1756 ?	Dimensions : plateau : haut. : 0,028 m; long. : 0,178 m ; larg. : 0,126 m.
Inv. Steve 4983	Pot à lait « à trois pieds »	Manufacture royale de porcelaine de Vincennes, vers 1755-1756 ?	Dimensions :  Haut : 8 Long : 8 Prof : 13
Inv. Steve 4984	Pot à sucre « Calabre »	Manufacture royale de porcelaine de Vincennes, vers 1755-1756 ?	Dimensions : haut. (sans couvercle): 0,050 m ; haut. (avec couvercle) : 0,070 m ; diam. : 0,060 m.
Inv. Steve. 4989	Gobelet « Bouillard »	Manufacture royale de porcelaine de Vincennes, vers 1755-1756 ?	Dimensions : haut. : 0,042 m ; diam ; : 0,056 m ; long ; : 0,072 m ;
Inv. Steve. 4990	Soucoupe.	Manufacture royale de porcelaine de Vincennes, vers 1755-1756 ?	Dimensions : haut ; : 0,024 m ; diam ; : 0 ,096 m.
Inv. Steve 3430	Gobelet « litron »	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,068 m ; long. : 0,089 m ; diam. : 0,066 m.
Inv. Steve 3431	Gobelet « litron »	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,068 m ; long. : 0,089 m ; diam. : 0,066 m.
Inv. Steve 3432	Gobelet « litron »	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,068 m ; long. : 0,089 m ; diam. : 0,066 m.
Inv. Steve 3433	Gobelet « litron »	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,068 m ; long. : 0,089 m ; diam. : 0,066 m.
Inv. Steve 3434	Gobelet « litron »	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,068 m ; long. : 0,089 m ; diam. : 0,066 m.
Inv. Steve 3419	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,030 m ; diam. : 0,140 m.
Inv. Steve 3420	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,030 m ; diam. : 0,140 m.
Inv. Steve 3422	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,030 m ; diam. : 0,140 m.
Inv. Steve 3423	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,030 m ; diam. : 0,140 m.
Inv. Steve 3424	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,030 m ; diam. : 0,140 m.
Inv. Steve 3409	Gobelet « litron »	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,060 m ; diam. : 0,070 m ; long. : 0,095 m ; 
Inv. Steve 3410	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,030 m ; diam. : 0,138 m.
Inv. Steve 4857	Pot à lait « à trois pieds »	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,080 m ; long. : 0,085 m ; larg. : 0,065 m.
Inv. Steve 1267	Pot à lait « à trois pieds »	Manufacture royale de porcelaine de Sèvres, 1756-1757	Dimensions : haut. : 0,094 m ; diam. : 0,078 m ; prof. : 0,110 m.
Inv. Steve 5377	Théière « Calabre »	Manufacture royale de porcelaine de Sèvres, 1756-1757	Dimensions : haut. : 0,123 m ; long. : 0,185 m ; larg. : 0,096 m.
Inv. Steve 3467	Gobelet « Calabre »	Manufacture royale de porcelaine de Sèvres, 1756-1757.	Dimensions : haut. : 0,068 m ; diam. : 0,063 m ; long. : 0,087 m.
Inv. Steve 3462	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,029 m ; diam. : 0,125 m.
Inv. Steve 5032	Pot à sucre « Calabre »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. (s. c.): 0,050 m ; haut. (a. c.) : 0,073 m ; diam. : 0,061 m.
Inv. Steve 5005	Pot à sucre « Calabre »	Manufacture royale de porcelaine de Vincennes, 1756-1757.	Dimensions :  haut. (s. c.): 0,050 m ; haut. (a. c.) : 0,073 m ; diam. : 0,061 m.
Inv. Steve. 5033	Pot à sucre « Calabre »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,028 m ; long. : 0,283 m ; larg ; : 0,230 m.
Inv. Steve 5038 Ancien inventaire : 2600 A	Pot à sucre « Bouret »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. (s. c.): 0,072 m ; haut. (a. c.): 0,102 m ; diam. : 0,088 m. 
Inv. Steve 1248	Plateau « Corbeille Triangle a Jours »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,043 m ; diam. : 0,214 m.
Inv. Steve 1259	Gobelet « Hébert »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,054 m ; diam. : 0,065 m ; prof. : 0,083 m.
Inv. Steve 1260	Soucoupe de gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,028 m ; diam. : 0,100 m.
Inv. Steve 1266	Pot à lait « à trois pieds »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,082 m ; long. : 0,087 m ; larg. : 0,068 m.
Inv. Steve 1251	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,060 m ; diam. : 0,070 m ; prof. : 0,092 m.
Inv. Steve 1250	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,030 m ; diam. : 0,130 m.
Inv. Steve 1268	Théière « Calabre »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. (a. c.) : 0,120 m ; haut. (s. c.) : 0,100 m ; long. : 0,157 m ; larg. : 0,092 m.
Inv. Steve 1254	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,060 m ; diam. : 0,070 m ; prof. : 0,092 m.
Inv. Steve 1253	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,030 m ; diam. : 0,130 m.
Inv. Steve : 4762 ancien inventaire : 2190 A	Pot à lait « Hébert »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. (a. c.) : 0,096 m ; haut. (s. c.) : 0,083 m ; long. : 0,100 m ; larg. : 0,075 m.
Inv. Steve 1262	Soucoupe de gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, vers 1757-1758.	Dimensions : haut. : 0,012 m ; diam. : 0,074 m.
Inv. Steve : 4761 ancien inventaire : 2189 A	Pot à lait « Hébert »	Manufacture royale de porcelaine de Sèvres, 1757-1758.	Dimensions : haut. : 0,075 m ; long. : 0,075 m ; larg. : 0,060 m.
Inv. Steve 1261	Pot à sucre « Calabre »	Manufacture royale de porcelaine de Sèvres, vers 1757-1758.	Dimensions : haut. (a. c.) : 0,070 m ; haut. (s. c.) : 0,050 m ; diam. : 0,060 m.
Inv. Steve 1271	Gobelet « Hébert »	Manufacture royale de porcelaine de Sèvres, vers 1758.	Dimensions : haut. : 0,056 m ; diam. : 0,068 m ; prof. : 0,085 m.
Inv. Steve 1270	Soucoupe	Manufacture royale de porcelaine de Sèvres, vers 1758.	Dimensions : haut. : 0,025 m ; diam. : 0,120 m.
Inventaire : 1257 Inv. Steve 2041 B	Gobelet « couvert »	Manufacture royale de porcelaine de Sèvres, vers 1758.	Dimensions : haut. : 0,060 m ; diam. : 0,060 m ; prof. : 0,082 m.
Inventaire : 1258 Inv. Steve 2042 B	Soucoupe	Manufacture royale de porcelaine de Sèvres, vers 1758.	Dimensions : haut. : 0,029 m ; diam. : 0,122 m.
Inv. Steve 3455	Gobelet « litron »	Manufacture royale de porcelaine de Sèvres, 1758-1759.	Dimensions : haut. : 0,047 m ; long. : 0,067 m ; diam. : 0,049 m.
Inv. Steve 5374	Pot à lait « à trois pieds »	Manufacture royale de porcelaine de Sèvres, 1758-1759.	Dimensions : haut. : 0,092 m ; long. : 0,102 m ; larg. : 0,045 m.
Inv. Steve 5338	Pot à sucre « Bouret »	Manufacture royale de porcelaine de Sèvres, 1758-1759.	Dimensions : haut. (a. c.) : 0,095 m ; haut. (s. c.): 0,062 m ; diam. : 0,076 m.
Inv. Steve 5071	Pot à sucre « Bouret »	Manufacture royale de porcelaine de Sèvres, 1758-1759.	Dimensions : haut. (a. c.) : 0,069 m ; diam. : 0,060 m.
Inv. Steve 5021	Plateau « à tiroir »	Manufacture royale de porcelaine de Sèvres, vers 1758-1759.	Dimensions : plateau : haut. : 0,029 m; long. : 0,173 m ; larg. : 0,123 m.
Inv. Steve 5020	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, vers 1758-1759 ?	Dimensions : haut. : 0,042 m ; diam ; : 0,056 m ; long ; : 0,072 m ;
Inv. Steve 5022	Soucoupe	Manufacture royale de porcelaine de Sèvres, vers 1758-1759 ?	Dimensions : haut ; : 0,024 m ; diam ; : 0 ,096 m.
Inv. Steve 5023	Pot à lait « Hébert »	Manufacture royale de porcelaine de Sèvres, 1758-1759.	Dimensions : haut. (s. c.): 0,075 m ; haut. (a. c.) : 0,100 m ; long. : 0,075 m ; larg. : 0,060 m.
